,tags_overall,f1-score,precision,recall,support,model_name,model_type
0,CC,0.26976744186046514,0.3923739237392374,0.20554123711340205,1552.0,crf-baseline-fold01-seed42.joblib,crf-baseline
1,CD,0.8356944647290785,0.8786855036855037,0.7967140072403229,3591.0,crf-baseline-fold01-seed42.joblib,crf-baseline
2,DT,0.3865546218487395,0.4893617021276596,0.3194444444444444,72.0,crf-baseline-fold01-seed42.joblib,crf-baseline
3,FW,0.553072625698324,0.7674418604651163,0.43231441048034935,458.0,crf-baseline-fold01-seed42.joblib,crf-baseline
4,IN,0.6160835983643799,0.5760407816482583,0.662109375,4096.0,crf-baseline-fold01-seed42.joblib,crf-baseline
5,JJ,0.4040528093337427,0.5120622568093385,0.3336713995943205,1972.0,crf-baseline-fold01-seed42.joblib,crf-baseline
6,MD,0.5351043643263758,0.5351043643263758,0.5351043643263758,1054.0,crf-baseline-fold01-seed42.joblib,crf-baseline
7,NEG,0.3651452282157676,0.4512820512820513,0.30662020905923343,287.0,crf-baseline-fold01-seed42.joblib,crf-baseline
8,NN,0.7445023804126049,0.6962544169611308,0.7999350438454044,12316.0,crf-baseline-fold01-seed42.joblib,crf-baseline
9,NND,0.3045685279187817,0.4316546762589928,0.2352941176470588,255.0,crf-baseline-fold01-seed42.joblib,crf-baseline
10,NNP,0.9141172134168816,0.8980301274623407,0.930791172496622,6661.0,crf-baseline-fold01-seed42.joblib,crf-baseline
11,OD,0.5862068965517241,0.7157894736842105,0.4963503649635037,137.0,crf-baseline-fold01-seed42.joblib,crf-baseline
12,PR,0.5087807325639739,0.5748299319727891,0.4563456345634563,1111.0,crf-baseline-fold01-seed42.joblib,crf-baseline
13,PRP,0.7721144360407761,0.7868632707774799,0.7579083279535184,1549.0,crf-baseline-fold01-seed42.joblib,crf-baseline
14,RB,0.3290322580645161,0.4696132596685083,0.253227408142999,1007.0,crf-baseline-fold01-seed42.joblib,crf-baseline
15,RP,0.35897435897435903,0.7777777777777778,0.2333333333333333,30.0,crf-baseline-fold01-seed42.joblib,crf-baseline
16,SC,0.46110056925996207,0.4552266766579243,0.4671280276816609,2601.0,crf-baseline-fold01-seed42.joblib,crf-baseline
17,SYM,0.8990384615384617,0.9257425742574258,0.8738317757009346,428.0,crf-baseline-fold01-seed42.joblib,crf-baseline
18,UH,0.0,0.0,0.0,2.0,crf-baseline-fold01-seed42.joblib,crf-baseline
19,VB,0.6852120748949179,0.6677092642240096,0.7036571966724219,6371.0,crf-baseline-fold01-seed42.joblib,crf-baseline
20,WH,0.21428571428571427,0.8571428571428571,0.12244897959183673,49.0,crf-baseline-fold01-seed42.joblib,crf-baseline
21,X,0.021505376344086027,0.1,0.012048192771084338,83.0,crf-baseline-fold01-seed42.joblib,crf-baseline
22,Z,0.9918807909064858,0.98744769874477,0.996353866820188,5211.0,crf-baseline-fold01-seed42.joblib,crf-baseline
23,fw,0.0,0.0,0.0,0.0,crf-baseline-fold01-seed42.joblib,crf-baseline
24,macro avg,0.4898664560645882,0.5811014354030731,0.4554238703934363,50893.0,crf-baseline-fold01-seed42.joblib,crf-baseline
25,micro avg,0.7234197237341089,0.7234197237341088,0.7234197237341088,50893.0,crf-baseline-fold01-seed42.joblib,crf-baseline
